day,length,weight,count,looped,neighbors,income,label
201,60,6.258487701416021e-07,17,0,2,2068330761,0
14,144,0.128331417866172,7133,0,1,100000000,0
28,0,0.166666666666667,1,0,1,131800000,0
80,8,0.00520833333333333,1,0,1,100000000,0
325,144,0.000390271689375596,2143,0,2,198923407,0
104,12,0.648003472222222,12,0,2,3222000000,0
208,0,1.0,1,0,1,328656471,0
297,144,0.0689548532255708,3083,0,1,297221408,0
166,144,0.0649224240215508,4386,0,1,70000000,0
110,0,0.0217391304347826,1,0,1,112077999,0
220,10,0.130813953488372,45,0,2,3655250001,0
291,144,0.0194541991811104,1684,1684,2,126964439,0
205,6,0.0102040816326531,1,0,2,35012288,0
179,10,0.0136473429951691,2,0,4,259872005,0
306,144,0.00032817590903156296,5302,0,1,88840000,0
81,50,0.0019727051258087197,7,7,2,5706000000,0
295,0,0.5,1,0,1,71415524,0
140,60,0.5,1,0,2,2271675000,0
224,30,0.00390625,7,0,1,13313555279,0
173,22,0.000244140625,1,0,2,30099639071,0
38,0,0.5,1,0,2,50000000,0
84,38,0.20546549379502,50,50,1,2411000000,0
41,0,0.5,1,0,2,42000000,0
151,14,0.015625,1,0,1,101000000,0
344,60,0.5,1,0,2,562910847,0
107,2,1.0,1,0,2,500000000,0
243,8,1.0,1,0,1,69959467,0
207,144,1.9327165985709798,959,889,4,248690000,0
121,4,0.0515644247351565,46,46,1,400000000,0
15,10,0.11468253968254,2,0,2,400000000,0
48,18,0.00390625,1,0,1,68471795,0
261,20,0.0009765625,1,0,1,146000000,0
21,136,0.212777649237835,1719,1719,4,146675000,0
232,60,0.5,1,0,2,63094480,0
94,144,0.16666893510453,3526,0,2,84575000,0
358,144,0.0235072669158905,2499,2400,2,1073200000,0
73,6,0.25,23,0,2,4786000000,0
190,8,0.125,1,0,2,30600000,0
251,144,0.0307211904984174,4079,0,2,924480289,0
360,142,4.65661287307739e-10,1,0,2,13778324347,0
146,0,0.5,1,0,2,3011900000,0
96,18,0.0625,1,0,2,1883582333,0
226,0,0.5,1,0,1,207941359,0
225,10,0.19833480913026397,5,3,9,367357929,0
317,72,1.0,1,0,2,4011750000,0
142,144,0.0009405338285690119,1894,1717,2,1300000000,0
81,8,0.125,1,0,2,450640320,0
353,38,0.213770138103527,220,0,2,937000000,0
362,0,2.0,2,0,2,169981098,0
118,0,0.5,1,0,2,2800509652,0
2,0,1.0,1,0,1,4281560868,0
291,144,0.0012608661707123698,3018,2452,2,205000000,0
83,144,0.0674077782584767,1511,0,2,52096144,0
353,110,9.22058896216706e-15,1,1,2,729092000,0
254,10,0.004,1,0,2,48825731,0
249,58,1.0009765625,2,0,4,159058385,0
36,0,1.0,1,0,1,50000000,0
331,0,1.0,1,0,1,499983748,0
230,144,0.564506439612213,2389,0,2,99323983,0
40,144,5.37995365099224,5708,4,14,685451539,0
83,96,1.0,1,0,2,3548000000,0
246,10,0.125,1,0,2,70000000,0
114,144,0.00165127928157054,3403,3127,2,1166218000,0
298,6,1.0,39,0,2,4945000000,0
145,142,2.0358634751946,2576,2576,11,1316139692,0
28,26,0.000257201646090535,1,0,2,3115640032,0
22,144,2.02415849102943,3109,2344,16,6170000000,0
296,0,0.5,1,0,1,445025000,0
172,144,3.10935050288584,8904,0,2,49751399478,0
189,4,0.03125,1,0,1,30000000,0
345,40,0.00666153141955434,15,13,1,100000000,0
353,0,0.5,1,0,1,1000000000,0
316,144,0.0129460948124233,1045,1045,2,420000000,0
285,14,0.00390625,1,0,1,210222085,0
334,144,4.14738586089921,1611,1209,8,3800000000,0
130,6,0.0625,1,0,1,709960000,0
71,14,0.00347222222222222,1,0,2,2456574818,0
259,28,0.0872373539114277,13,0,2,1500000000,0
221,2,0.1875,3,0,1,120000000,0
45,144,0.10313134885663001,2175,0,2,235397644,0
53,8,0.0347222222222222,3,0,2,703800000,0
71,2,0.25,1,0,2,132175500,0
201,20,0.5,1,0,2,8228573049,0
28,6,1.5276212832550902,89,71,4,2533278510,0
99,6,0.5,1,0,1,140029710,0
114,10,0.0625,1,0,1,52000000,0
133,0,1.0,1,0,1,110409599,0
257,10,0.375,3,0,2,3650280000,0
202,88,0.253906278233779,20,0,3,163406469,0
19,6,0.5,1,0,2,4869000000,0
221,0,0.5,1,0,2,200000000,0
266,18,0.49977127172918395,1,1,1094,42807020000,0
322,144,0.1026334703371,1646,0,1,59200000,0
78,144,0.0016865010149149998,4731,0,2,30380683,0
230,6,0.5,1,0,1,373608724,0
