"In_your_own_words,_what_would_you_call_the_part_of_?",Personally_identification_as_a_Midwesterner?,Illinois_in_MW?,Indiana_in_MW?,Iowa_in_MW?,Kansas_in_MW?,Michigan_in_MW?,Minnesota_in_MW?,Missouri_in_MW?,Nebraska_in_MW?,North_Dakota_in_MW?,Ohio_in_MW?,South_Dakota_in_MW?,Wisconsin_in_MW?,Arkansas_in_MW?,Colorado_in_MW?,Kentucky_in_MW?,Oklahoma_in_MW?,Pennsylvania_in_MW?,West_Virginia_in_MW?,Montana_in_MW?,Wyoming_in_MW?,ZIP_Code,Gender,Age,Household_Income,Education,Location_(Census_Region)
California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,94114,Female,> 60,"$150,000+",Graduate degree,Pacific
West coast,Not at all,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,93401,Female,> 60,"$150,000+",Graduate degree,Pacific
northwest,Not much,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,97741,Female,> 60,"$150,000+",Graduate degree,Pacific
Southwest,Some,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,92020,Female,> 60,"$150,000+",Graduate degree,Pacific
northwest,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,99507,Female,> 60,"$150,000+",Graduate degree,Pacific
California,Not at all,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,94025,Male,> 60,"$150,000+",Graduate degree,Pacific
High Desert,Not at all,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,92392,Male,> 60,"$150,000+",Graduate degree,Pacific
"Southwest, suburban",Not at all,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,91740,Male,> 60,"$150,000+",Graduate degree,Pacific
Far West,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,92130,Male,> 60,"$150,000+",Graduate degree,Pacific
California,Some,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,93711,Male,> 60,"$150,000+",Graduate degree,Pacific
Silicon Valley,Not at all,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,95070,Female,45-60,"$150,000+",Graduate degree,Pacific
Weather Fabulous,Not at all,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,90056,Female,45-60,"$150,000+",Graduate degree,Pacific
