DOB,M_STATUS,SALARY,EDU_DATA,EMP_DATA,REL_ORIEN,FAV_TV,PREF_CAR,GENDER,FAV_CUIS,FAV_MUSIC,ENDU_LEVEL,FAV_SPORT,FAV_COLR,NEWS_SOURCE,DIST_FRM_COAST,MNTLY_TRAVEL,GEN_MOVIES,FAV_SUBJ,ALCOHOL,FAV_SUPERHERO,Dist_Coast,Class
7/22/1964,Married,0-100K,Post-Graduate,Unemployed,Believer,How I Met your mother,Ford,Male,Thai,Heavy Metal,6 to 10,Rugby,Green,New York Times,10-25 KM,250-500 KM,Comedy,Art,Gin,The hulk,462.0,y
9/9/1981,Unmarried,300k-500k,High-School,Employed,Believer,Big Bang Theory,Daimler-Benz,Male,Mexican,Country,12 to 15,Basketball,Orange,Associated Press,60-80 KM,500-1000 KM,Thriller,Maths,Non Drinkers,Thor,269.0,y
5/8/1978,Married,100k-300k,High-School,Employed,Believer,Flash,Suzuki,Male,Thai,Heavy Metal,6 to 10,Basketball,White,Fox News,10-25 KM,0-250 KM,Horror,Chemistry,Rum,spiderman,1308.0,x
6/21/1978,Unmarried,300k-500k,Graduate,Employed,Agnostic,Friends,Audi,Male,Lebanese,Heavy Metal,3 to 5,volleyball,Green,BBC,0-10 KM,0-250 KM,Romantic,English,wine,Ironman,1039.0,y
12/14/1968,Unmarried,500k-700k,High-School,Unemployed,Agnostic,Prison Break,BMW,Male,Chinese,Heavy Metal,1 to 3,volleyball,Black,Fox News,10-25 KM,0-250 KM,Thriller,Biology,Vodka,Thor,272.0,y
1/25/1971,Unmarried,100k-300k,Uneducated,Employed,Believer,Friends,Nissan,Female,Italian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Comedy,Art,Vodka,Thor,603.0,y
11/28/1965,Married,500k-700k,Post-Graduate,Unemployed,Believer,Friends,Toyota,Male,Mexican,Light Metal,6 to 10,Rugby,White,Fox News,25-40 KM,1000-1500 KM,Drama,Chemistry,Vodka,Batman,334.0,y
9/8/1992,Married,100k-300k,Graduate,Unemployed,Believer,Friends,Suzuki,Female,Mediterranean,Rap,6 to 10,Rugby,Yellow,BBC,0-10 KM,0-250 KM,Horror,Chemistry,wine,superman,1162.0,y
10/27/1978,Unmarried,300k-500k,Graduate,Employed,Believer,Breaking Bad,Audi,Female,Mediterranean,Rock,20+,Soccer,Blue,CNN,25-40 KM,250-500 KM,Horror,Economics,Beer,superman,326.0,y
12/18/1984,Divorced,0-100K,Graduate,Self-Employed,Agnostic,Game of Thrones,Ford,Male,Lebanese,Country,12 to 15,Swimming,Red,Huffington Post,40-60 KM,1000-1500 KM,Romantic,Commerce,Whiskey,Ironman,921.0,x
11/28/1988,Unmarried,0-100K,Uneducated,Self-Employed,Believer,Prison Break,Ford,Male,Lebanese,Heavy Metal,3 to 5,Basketball,Black,Fox News,0-10 KM,0-250 KM,Thriller,Biology,Whiskey,Thor,201.0,x
5/29/1960,Married,0-100K,Graduate,Unemployed,Agnostic,Breaking Bad,Ford,Female,Mediterranean,Rock,18-20,Cricket,purple,Associated Press,10-25 KM,1500-2000 KM,Horror,Economics,Beer,spiderman,1376.0,y
4/5/1994,Married,300k-500k,Post-Graduate,Unemployed,Agnostic,Friends,Ford,Female,French,Rap,6 to 10,Swimming,White,MSN,0-10 KM,0-250 KM,Action,Biology,Vodka,wonder woman,1176.0,x
10/12/1988,Married,0-100K,Graduate,Self-Employed,Believer,Breaking Bad,GM,Male,Mexican,Hip-Hop,15-18,Basketball,Blue,CNN,25-40 KM,1000-1500 KM,Historical,Commerce,Beer,Ironman,1497.0,y
12/4/1984,Married,300k-500k,Post-Graduate,Self-Employed,Agnostic,Friends,Wolkswagen,Male,Lebanese,Heavy Metal,3 to 5,Swimming,Green,New York Times,60-80 KM,2000+ KM,Drama,Chemistry,Vodka,Batman,1409.0,x
2/11/1970,Unmarried,300k-500k,Post-Graduate,Employed,Believer,How I Met your mother,Audi,Female,Indian,Rap,6 to 10,Basketball,Green,New York Times,10-25 KM,250-500 KM,Horror,Chemistry,Non Drinkers,superman,921.0,y
7/20/1960,Married,300k-500k,Uneducated,Unemployed,Agnostic,Narcos,Toyota,Male,Thai,Country,12 to 15,Cricket,Blue,Huffington Post,40-60 KM,250-500 KM,Horror,Economics,Rum,spiderman,691.0,y
9/1/1976,Unmarried,300k-500k,High-School,Self-Employed,Believer,Game of Thrones,Ford,Female,Indian,Rock,18-20,Soccer,purple,Associated Press,60-80 KM,1000-1500 KM,Thriller,Maths,Vodka,Thor,1191.0,x
2/3/1981,Married,0-100K,Graduate,Unemployed,Agnostic,Dexter,Ford,Male,Chinese,Classical,10 to 12,Swimming,Red,CNN,25-40 KM,1000-1500 KM,Historical,Commerce,Beer,Ironman,823.0,x
2/27/1992,Married,500k-700k,Uneducated,Unemployed,Atheist,Prison Break,Daimler-Benz,Male,Chinese,Heavy Metal,3 to 5,Rugby,White,MSN,40-60 KM,1500-2000 KM,Drama,Chemistry,Vodka,spiderman,1311.0,x
11/2/1990,Divorced,300k-500k,Uneducated,Self-Employed,Agnostic,Friends,Daimler-Benz,Male,Mexican,Rap,6 to 10,Swimming,White,MSN,0-10 KM,0-250 KM,Thriller,Biology,Vodka,Thor,1084.0,y
6/5/1973,Married,0-100K,High-School,Employed,Believer,Dexter,Ford,Female,Indian,Rock,18-20,Rugby,Red,Reuters,25-40 KM,500-1000 KM,Thriller,Maths,Beer,Thor,1302.0,y
1/6/1973,Married,0-100K,Post-Graduate,Employed,Agnostic,Big Bang Theory,GM,Male,Italian,Hip-Hop,15-18,Cricket,purple,Associated Press,0-10 KM,1500-2000 KM,Historical,Commerce,Non Drinkers,The hulk,631.0,x
5/26/1972,Unmarried,300k-500k,High-School,Unemployed,Believer,Friends,Toyota,Female,Indian,Rap,6 to 10,Soccer,White,MSN,0-10 KM,0-250 KM,Drama,Chemistry,Vodka,Batman,1456.0,x
5/15/1967,Married,500k-700k,Post-Graduate,Unemployed,Believer,Breaking Bad,BMW,Female,Indian,Rock,18-20,Basketball,Blue,Huffington Post,40-60 KM,0-250 KM,Drama,Physics,Beer,Batman,1386.0,y
8/17/1980,Married,100k-300k,Graduate,Employed,Believer,Breaking Bad,Honda,Male,Italian,Hip-Hop,15-18,Rugby,Red,Reuters,25-40 KM,500-1000 KM,Thriller,Maths,Beer,Thor,412.0,x
