age,workclass,fnlwgt,education,educationNum,maritalStatus,occupation,relationship,race,sex,capitalGain,capitalLoss,hoursPerWeek,nativeCountry,label
59,Local-gov,53612.0,Masters,14,Separated,Prof-specialty,Own-child,Black,Female,0.0,0.0,35,United-States,-1
51,Private,136913.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40,United-States,-1
58,Self-emp-not-inc,331474.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,20,United-States,1
36,Private,52327.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0.0,0.0,40,Iran,1
61,Private,136109.0,11th,7,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45,United-States,-1
19,Private,233779.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40,United-States,-1
27,Self-emp-inc,186733.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50,United-States,-1
44,State-gov,174325.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Black,Male,7688.0,0.0,40,United-States,1
32,Private,323055.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40,United-States,-1
28,Private,338376.0,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40,United-States,-1
21,Private,222490.0,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,0.0,40,United-States,-1
24,Private,196674.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40,United-States,-1
41,Private,281725.0,5th-6th,3,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40,Mexico,-1
21,Private,195248.0,Some-college,10,Never-married,Sales,Own-child,Other,Female,0.0,0.0,20,United-States,-1
47,Private,171751.0,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0.0,0.0,40,United-States,-1
25,Private,169323.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0.0,0.0,40,United-States,-1
20,Private,368852.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,20,United-States,-1
30,Private,211028.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,45,United-States,-1
44,Private,118550.0,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,33,United-States,-1
25,Private,304032.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0.0,0.0,36,United-States,-1
28,Private,190525.0,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,40,United-States,-1
