Roger_Ebert,Jeffrey_Lyons,Michael_Medved,Rex_Reed,Gene_Shalit,Joel_Siegel,Gene_Siskel,binaryClass
,Pro,Mixed,Pro,,Pro,,N
Pro,Con,Con,Con,,Pro,Mixed,P
,Pro,Con,Con,,,,N
Pro,Mixed,Mixed,Pro,Pro,,Pro,N
Pro,,,,,,Pro,P
Pro,Pro,,,,,Pro,N
Pro,Pro,,Pro,,,,N
,,,Pro,,,,P
Mixed,Con,,Con,,,,P
,Pro,Mixed,Mixed,,,Mixed,N
Mixed,,Con,,,,Pro,N
Pro,Pro,Con,Con,Mixed,Pro,Mixed,N
Con,,,,,Con,Con,P
Pro,Pro,Mixed,Pro,,Con,Con,P
Mixed,Con,Pro,,,,,N
Mixed,,,,,Pro,,N
,Mixed,,Pro,,,,P
Pro,Mixed,Pro,Pro,,,,N
Pro,,,,,,Mixed,N
,Pro,,,,,,N
Con,Con,Pro,,,Mixed,Con,P
,Mixed,,,,,,N
Con,,,,,,Con,N
Pro,Pro,Pro,,,Mixed,Con,P
,Con,,,,,,P
,Pro,,Con,,Pro,,N
Pro,Mixed,Pro,Con,,,,N
,Mixed,,Pro,,,,N
,,,,,Con,,N
Mixed,Con,Con,Pro,,,,P
Mixed,Mixed,,Con,Con,Con,Con,P
,,Pro,Pro,,Pro,,N
,Con,,,,Con,,P
,Pro,Con,Con,,Pro,,N
Mixed,Mixed,,Con,,Pro,,P
Pro,Mixed,,Con,,Con,Mixed,P
,Con,,,,,,P
,,,,Pro,,,N
,Con,,,,,,N
,Con,,Con,,,,P
,,,,,,,N
,,,Pro,,Pro,,P
,Mixed,,Con,,,,P
Mixed,Mixed,Mixed,Mixed,Mixed,,Mixed,N
,Con,,Con,,Pro,,P
Con,,,Pro,,,Mixed,N
Pro,,,,,,,N
,,Con,Con,,,,P
,,Con,,,,,N
,Con,,Pro,Pro,Con,,N
Pro,Mixed,Con,Con,Pro,Pro,,N
,Pro,,Pro,,,,N
,Pro,,,,,,N
Mixed,,Con,,,,Mixed,P
Mixed,Con,Con,,,,Mixed,P
,Pro,Con,,,,,N
Mixed,Mixed,Con,Mixed,Pro,,Mixed,N
Con,Con,,,,Con,Mixed,N
Pro,Pro,,,,,,N
Pro,,Pro,Con,,Pro,Pro,N
Pro,Pro,,Pro,Pro,Pro,Pro,N
Pro,Pro,,Pro,,Pro,Con,P
,Pro,Mixed,Pro,Pro,Pro,,N
,Con,,Con,,Con,Mixed,N
,,Pro,Pro,,,,N
Pro,Con,Mixed,Con,,Con,Con,P
,Con,,Con,,,,P
Mixed,Pro,Pro,,Con,Con,Mixed,P
Mixed,,Mixed,,,Mixed,Mixed,P
Con,,,,,,,P
Pro,Pro,,Pro,,Pro,Pro,P
Mixed,Mixed,,Con,,Con,Con,N
Con,,Con,Mixed,,,Con,P
Pro,,Pro,Pro,,Pro,Pro,P
Mixed,Con,,,,Con,Pro,P
Con,Pro,,,Mixed,Pro,Pro,N
Pro,Pro,,Pro,Pro,Pro,Pro,N
Pro,,,,,,Con,P
Con,Mixed,Con,,,Pro,Con,P
Pro,Pro,Mixed,Mixed,Pro,Con,,P
,,Con,,,,,P
,Pro,Pro,Con,,,,N
,Con,Con,,,,,P
Con,,,,,,Pro,P
,Mixed,,,,,,N
Pro,Pro,Pro,,,Pro,Pro,N
Pro,Con,,Con,Pro,Pro,Pro,N
Pro,Pro,Con,,,Con,Mixed,N
