CountryID,Gender,ageRDATE,p2sumstake,p2sumbet,p2sumday,p2intvday,p2bpd,p2net,p2bpd1m,p2stakeSD1m,p2totalactivedays1m,p2stakeSlope1m,DV
620,1,21,6202.57,347,68,308,5.102941176,57.95,6.16,104.6161511,25,0.038441023,1
40,1,19,665.8765,57,26,540,2.192307692,116.0765,3.0,30.58078505,13,0.122799171,0
616,1,20,843.221,306,105,679,2.914285714,-27.4005,4.285714286,5.516550845,7,-0.1084391,0
616,1,38,355.1172,31,20,458,1.55,76.5577,2.0,31.7357977,9,-0.04432965,0
724,1,26,13622.0703,613,76,733,8.065789474,1860.0303,7.083333333,47.88915468,12,-0.138552,0
276,1,24,6322.35,172,21,285,8.19047619,383.46,11.8,143.0075577,5,-0.449893323,0
724,1,53,6746.67,741,29,64,25.55172414,103.93,27.42857143,137.2970561,7,-0.271396692,0
792,1,39,1198.2252,867,53,629,16.35849057,384.5283,29.0,37.56728359,10,-0.094499698,1
756,1,32,710.8569,21,16,255,1.3125,-9.3301,1.333333333,136.9886978,9,-0.260838264,0
276,1,27,8645.84,329,67,571,4.910447761,305.5,6.0,38.07905264,8,0.004617173,0
792,1,22,225.6902,79,32,257,2.46875,21.3687,3.5,30.97287351,4,-0.099370707,0
276,1,62,87013.23,7454,422,600,17.66350711,6030.7,9.862068966,53.95188059,29,0.027057136,0
792,0,23,1195.5915,101,56,617,1.803571429,57.9936,2.0,13.13578125,2,3.442033706,1
300,1,33,187.0,13,6,37,2.166666667,187.0,2.0,18.22772613,4,0.590185239,1
276,1,39,14539.1803,1537,142,652,10.82394366,1683.4403,9.4,16.47084967,10,0.144966772,1
792,1,29,34.7289,9,6,99,1.5,18.3641,1.0,0.194501851,3,-0.391698818,0
208,1,30,387.4219,123,23,233,5.347826087,13.7955,7.538461538,23.57507748,13,-0.031763301,0
276,1,52,13644.83,866,219,438,3.9543379,1004.29,3.5,28.9350223,18,-0.060563417,0
792,1,24,517.767,32,16,263,2.0,99.0168,2.142857143,25.14966178,14,-0.00748002,0
300,1,25,67712.71,1187,156,392,7.608974359,-3558.29,5.0,298.0898854,17,0.172707456,0
276,1,27,240.9886,66,37,520,1.783783784,7.0486,2.0,9.899494937,2,-3.36729583,0
276,1,53,93.34,53,22,419,2.409090909,14.99,1.0,3.685557398,4,-0.230258509,1
40,1,36,1700.41,212,30,345,7.066666667,283.17,5.142857143,40.51228814,7,-0.232077115,1
276,1,38,70.0,9,4,37,2.25,70.0,2.333333333,10.40833,3,-0.111571776,0
208,1,22,99.0253,16,9,338,1.777777778,-93.7396,1.5,6.240640173,4,0.271585111,1
616,1,31,1815.5042,536,79,656,6.784810127,421.9129,9.666666667,20.60712396,9,0.393847234,0
276,1,26,70.9613,64,12,678,5.333333333,-27.5787,11.5,3.535533906,2,-0.374693449,0
276,1,32,1694.53,274,71,537,3.85915493,56.95,3.818181818,2.078596117,11,-0.131749422,0
616,0,26,6820.8527,1231,286,704,4.304195804,-174.2196,5.47826087,5.241708035,23,0.077366525,0
300,1,29,793.1,37,22,530,1.681818182,25.09,3.333333333,20.81665999,3,-0.111571776,1
792,1,32,790.4401,379,70,206,5.414285714,102.4881,4.3,6.805661082,10,-0.013088601,1
276,1,42,12634.91,353,51,293,6.921568627,45.1,10.5625,473.6308707,16,0.205972513,1
276,0,52,16275.09,553,71,714,7.788732394,306.92,5.0,154.6454269,6,0.366965142,0
792,1,20,81.0796,88,22,422,4.0,12.9205,6.222222222,6.09507294,9,0.215145194,0
276,1,18,9.5,7,4,267,1.75,5.97,1.5,0.353553391,2,-0.693147181,0
276,1,31,5643.229,54,10,575,5.4,32.619,5.0,132.1565118,4,-0.001848501,0
276,1,18,107.88,107,25,279,4.28,7.58,2.0,4.173328009,4,0.184582669,1
724,1,32,411.05,140,52,573,2.692307692,49.96,3.615384615,8.567230352,13,0.104475312,1
276,1,18,26.72,44,19,188,2.315789474,7.44,3.5,1.75547104,8,-0.18824054,1
724,1,24,2717.81,247,27,492,9.148148148,375.8,10.6,44.76556644,10,-0.332795819,0
276,1,17,134.75,21,6,313,3.5,86.99,4.75,6.048467437,4,0.015649432,1
442,1,26,30.5,30,5,263,6.0,25.4,12.0,14.14213562,2,2.397895273,0
276,1,33,111.0,16,7,142,2.285714286,-11.31,1.75,7.941190087,4,-0.624319556,0
276,1,24,59.14,62,22,435,2.818181818,14.31,5.0,5.507570547,3,-0.143841036,0
616,0,30,789.4754,122,37,107,3.297297297,167.7293,4.944444444,20.45870127,18,0.118720747,1
792,1,27,627.093,36,11,267,3.272727273,-78.5064,3.5,30.28033838,10,0.078905583,0
276,1,42,61740.59,2198,178,363,12.34831461,4786.2,20.44,794.3969458,25,0.064369922,1
276,1,45,271.32,142,48,419,2.958333333,34.3,1.75,5.130645845,8,-0.193845443,0
250,0,31,5275.53,105,20,388,5.25,684.92,6.666666667,218.6506959,9,0.099277837,0
792,1,19,25.4707,16,8,455,2.0,13.9672,2.5,0.417193001,2,-0.405493359,0
792,0,27,242.226,189,43,337,4.395348837,-32.0682,7.461538462,6.968112003,13,0.001469311,0
40,1,31,20921.2582,797,173,669,4.606936416,4820.4882,6.3,54.78673878,20,-0.042928328,0
276,1,19,91.83,27,10,430,2.7,72.92,3.666666667,4.554735631,6,-0.089260181,1
250,1,27,12580.1764,615,51,367,12.05882353,837.6664,12.76470588,474.9035553,17,0.095712971,0
276,1,35,14234.77,6912,200,711,34.56,1495.1,15.3125,22.82094813,16,-0.126638476,1
276,1,27,103.7,95,46,369,2.065217391,14.52,2.222222222,1.567194946,9,-0.09217345,1
792,1,21,77301.7961,3634,219,270,16.59360731,633.9437,12.52941176,205.0170416,17,0.250439494,0
724,1,23,54041.44,2938,202,660,14.54455446,5242.04,2.428571429,8.282792835,7,-0.1327426,1
276,1,41,44095.45,22053,673,750,32.76820208,8374.64,3.08,3.839270764,25,-0.045800452,0
792,1,26,46.0018,47,23,371,2.043478261,14.8013,1.666666667,0.756946655,12,0.03484222,1
276,1,28,22618.9556,845,63,309,13.41269841,261.7456,11.5,354.324137,2,2.466271334,0
276,0,37,1151.03,289,49,673,5.897959184,105.57,2.1,7.624704002,10,0.070127621,0
276,1,22,1396.58,128,50,675,2.56,88.1,3.363636364,20.98598155,11,-0.170114454,0
276,1,24,45654.3684,1676,258,681,6.496124031,829.8784,2.846153846,15.86310633,13,0.168774258,1
276,1,24,17394.64,1622,174,697,9.32183908,792.6,5.266666667,425.2379789,15,0.343900636,1
276,1,35,73021.7,1638,151,479,10.84768212,3452.77,15.25,97.24286991,24,-0.036407195,0
276,1,27,96.5,25,10,365,2.5,31.17,3.0,8.22597512,4,-0.247013991,0
276,1,22,5644.17,617,53,366,11.64150943,299.4,7.5,12.2603819,8,-0.366332765,0
724,1,40,1310.28,51,20,275,2.55,77.49,3.5,19.34554212,4,0.475032561,0
792,1,20,1144.8657,72,26,461,2.769230769,102.0214,2.5,55.81280468,6,0.250135109,0
276,1,25,44.82,14,6,165,2.333333333,6.22,3.0,4.272001873,3,-1.445185879,0
40,1,36,635.88,163,40,525,4.075,31.85,3.0,1.850434312,8,-0.301754831,0
