col_2,col_3,col_4,col_6,col_7,col_8,col_9,col_10,binaryClass
0,0.0,0,0,1.0,0.0,0.0,0.0,P
0,0.0,0,1,2.0,0.0,0.0,0.0,N
0,0.0,0,1,3.0,0.0,0.0,0.0,N
0,0.0,0,0,4.0,9.0,59.0,12.0,P
0,0.0,0,0,5.0,10.0,228.0,28.0,P
4,26.0,5,1,6.0,13.0,260.0,35.0,N
10,42.0,11,1,7.0,9.0,255.0,22.0,N
9,143.0,17,0,8.0,10.0,538.0,35.0,P
13,244.0,33,0,9.0,10.0,228.0,27.0,P
9,137.0,25,1,10.0,10.0,485.0,34.0,N
11,175.0,37,1,11.0,10.0,426.0,27.0,N
10,181.0,27,0,12.0,11.0,693.0,33.0,P
8,105.0,21,0,13.0,14.0,541.0,33.0,P
9,190.0,34,1,14.0,10.0,509.0,30.0,N
9,203.0,32,1,15.0,7.0,462.0,28.0,N
7,202.0,21,0,16.0,10.0,813.0,36.0,P
7,202.0,17,0,17.0,11.0,873.0,33.0,P
8,162.0,21,1,18.0,13.0,756.0,36.0,N
6,121.0,12,1,19.0,10.0,720.0,34.0,N
4,121.0,11,0,20.0,9.0,497.0,28.0,P
10,272.0,33,0,21.0,7.0,644.0,20.0,P
7,248.0,25,1,22.0,5.0,371.0,16.0,N
5,100.0,11,1,23.0,7.0,513.0,22.0,N
7,230.0,28,0,24.0,10.0,470.0,21.0,P
7,208.0,16,0,25.0,12.0,688.0,39.0,P
8,198.0,17,1,26.0,10.0,737.0,33.0,N
12,204.0,25,1,27.0,11.0,805.0,34.0,N
8,222.0,22,0,28.0,8.0,450.0,12.0,P
12,303.0,28,0,29.0,13.0,772.0,42.0,P
10,379.0,30,1,30.0,15.0,954.0,55.0,N
13,371.0,32,1,31.0,14.0,702.0,34.0,N
6,155.0,14,0,32.0,14.0,613.0,32.0,P
11,259.0,25,0,33.0,14.0,825.0,47.0,P
11,384.0,30,1,34.0,11.0,537.0,30.0,N
17,465.0,42,1,35.0,11.0,600.0,36.0,N
11,383.0,40,0,36.0,11.0,491.0,36.0,P
16,482.0,49,0,37.0,14.0,888.0,58.0,P
10,157.0,21,1,38.0,14.0,605.0,47.0,N
15,293.0,33,1,39.0,11.0,497.0,35.0,N
8,211.0,22,0,40.0,15.0,419.0,34.0,P
14,215.0,23,0,41.0,13.0,494.0,42.0,P
6,93.0,11,1,42.0,14.0,524.0,47.0,N
13,251.0,25,1,43.0,11.0,430.0,35.0,N
16,286.0,30,0,44.0,13.0,444.0,30.0,P
13,258.0,28,0,45.0,15.0,659.0,47.0,P
13,262.0,33,1,46.0,12.0,442.0,36.0,N
13,192.0,27,1,47.0,13.0,411.0,30.0,N
11,298.0,20,0,48.0,18.0,590.0,42.0,P
11,176.0,17,0,49.0,18.0,515.0,47.0,P
8,95.0,11,1,50.0,17.0,440.0,51.0,N
7,105.0,10,1,51.0,13.0,533.0,44.0,N
6,86.0,11,0,52.0,13.0,445.0,41.0,P
8,177.0,12,0,53.0,15.0,404.0,40.0,P
