N,TREE,BR,TL,IN,INTERNODE_1,INTERNODE_2,INTERNODE_3,INTERNODE_4,INTERNODE_5,INTERNODE_6,INTERNODE_7,INTERNODE_8,INTERNODE_9,INTERNODE_10,INTERNODE_11,INTERNODE_12,INTERNODE_13,INTERNODE_14,INTERNODE_15,INTERNODE_16,INTERNODE_17,INTERNODE_18,INTERNODE_19,INTERNODE_20,INTERNODE_21,INTERNODE_22,INTERNODE_23,INTERNODE_24,INTERNODE_25,INTERNODE_26,INTERNODE_27,INTERNODE_28,INTERNODE_29,binaryClass
1.0,G28,A,75.0,15,1.0,2.3,7.4,8.6,6.7,7.2,6.6,6.2,5.5,5.0,5.4,5.0,4.4,2.6,0.8,,,,,,,,,,,,,,,N
2.0,G28,B,18.0,7,0.7,1.3,4.0,5.2,2.8,2.2,1.5,,,,,,,,,,,,,,,,,,,,,,,N
3.0,G28,C,46.0,11,0.5,1.0,4.3,8.8,6.8,7.6,6.2,4.7,3.5,2.2,0.5,,,,,,,,,,,,,,,,,,,N
4.0,G28,C,16.0,8,0.5,1.2,3.5,4.2,2.2,2.8,1.5,0.1,,,,,,,,,,,,,,,,,,,,,,N
5.0,G28,D,56.0,16,0.5,1.0,3.5,8.2,5.3,6.2,4.8,4.7,3.1,3.8,3.3,4.3,3.5,2.4,1.2,0.3,,,,,,,,,,,,,,N
6.0,G28,E,77.0,18,0.5,0.7,3.0,8.7,7.5,8.0,6.7,6.3,5.4,5.2,6.1,6.2,5.0,2.4,1.1,2.3,1.5,0.6,,,,,,,,,,,,N
7.0,G28,F,6.5,5,0.5,0.9,2.2,2.5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,N
8.0,G28,F,84.5,17,1.2,2.8,8.8,9.5,7.2,7.7,6.4,6.8,5.7,5.0,5.4,5.8,3.7,3.7,2.6,1.6,0.6,,,,,,,,,,,,,N
9.0,G28,F,41.0,11,0.7,1.3,5.4,8.0,5.5,6.2,4.2,3.7,3.1,1.9,1.0,,,,,,,,,,,,,,,,,,,N
10.0,G28,G,1.0,3,0.3,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
11.0,G28,G,1.0,3,0.2,0.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,N
12.0,G28,G,4.0,5,0.5,0.7,1.3,1.0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,N
13.0,G28,G,16.0,8,0.7,1.2,3.2,4.7,2.8,1.8,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,N
14.0,G28,G,3.0,4,0.5,1.0,1.2,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,N
15.0,G28,G,21.0,10,0.5,0.8,2.4,4.0,3.0,3.2,2.6,2.1,1.4,0.7,,,,,,,,,,,,,,,,,,,,N
16.0,G28,H,46.0,16,0.5,1.5,6.2,5.3,5.7,4.6,2.5,1.8,2.2,4.0,4.3,4.5,1.7,0.6,0.6,0.2,,,,,,,,,,,,,,N
17.0,G28,H,47.0,16,0.5,0.7,2.8,5.3,5.0,4.4,4.1,4.2,4.2,4.4,3.6,3.5,2.7,1.2,0.5,0.1,,,,,,,,,,,,,,N
18.0,M33,A,9.0,5,1.2,2.2,3.1,2.2,0.7,,,,,,,,,,,,,,,,,,,,,,,,,N
19.0,M33,A,20.5,7,0.6,3.0,5.8,5.4,3.6,1.7,0.4,,,,,,,,,,,,,,,,,,,,,,,N
20.0,M33,A,47.0,13,0.5,2.4,2.8,3.5,3.1,3.6,3.8,5.1,8.6,6.5,5.6,1.1,0.3,,,,,,,,,,,,,,,,,N
21.0,M33,A,4.0,4,0.4,2.0,1.7,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,N
22.0,M33,A,5.0,5,0.2,1.2,1.6,1.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,N
23.0,M33,B,134.0,16,7.3,9.2,13.8,11.7,11.2,10.8,9.3,9.2,9.7,7.5,7.4,7.5,7.0,6.1,3.5,2.5,,,,,,,,,,,,,,N
24.0,M33,C,42.0,8,0.5,4.8,7.4,8.9,6.5,7.1,4.7,2.1,,,,,,,,,,,,,,,,,,,,,,N
25.0,M33,C,22.0,7,0.8,4.1,5.1,5.7,3.4,2.2,0.8,,,,,,,,,,,,,,,,,,,,,,,N
26.0,M33,C,25.0,7,0.6,3.7,7.8,6.2,3.6,2.4,0.3,,,,,,,,,,,,,,,,,,,,,,,N
27.0,M33,C,1.0,3,0.3,0.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,N
