col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,binaryClass
76,33,33.0,262.0,307.0,1.1718,5.5683,5.7268,P
76,34,34.0,259.0,306.0,1.1815,5.5568,5.7236,P
76,35,35.0,257.0,306.0,1.1907,5.5491,5.7236,P
76,36,36.0,262.0,306.0,1.1679,5.5683,5.7236,P
76,37,37.0,264.0,306.0,1.1591,5.5759,5.7236,P
76,38,38.0,268.0,313.0,1.1679,5.591,5.7462,P
76,39,39.0,276.0,319.0,1.1558,5.6204,5.7652,P
76,40,40.0,283.0,324.0,1.1449,5.6454,5.7807,P
76,41,41.0,290.0,332.0,1.1448,5.6699,5.8051,P
76,42,42.0,286.0,320.0,1.1189,5.656,5.7683,P
76,43,43.0,288.0,320.0,1.1111,5.663,5.7683,P
76,44,44.0,286.0,314.0,1.0979,5.656,5.7494,P
76,45,45.0,279.0,306.0,1.0968,5.6312,5.7236,P
76,46,46.0,279.0,307.0,1.1004,5.6312,5.7268,P
76,47,47.0,280.0,308.0,1.1,5.6348,5.7301,P
76,48,48.0,321.0,358.0,1.1153,5.7714,5.8805,P
76,49,49.0,328.0,358.0,1.0915,5.793,5.8805,P
76,50,50.0,334.0,360.0,1.0778,5.8111,5.8861,P
77,2,54.0,332.0,360.0,1.0843,5.8051,5.8861,P
77,3,55.0,332.0,362.0,1.0904,5.8051,5.8916,P
77,4,56.0,326.0,361.0,1.1074,5.7869,5.8889,P
77,5,57.0,322.0,359.0,1.1149,5.7746,5.8833,P
77,6,58.0,324.0,359.0,1.108,5.7807,5.8833,P
77,7,59.0,322.0,359.0,1.1149,5.7746,5.8833,P
77,8,60.0,316.0,357.0,1.1297,5.7557,5.8777,P
77,9,61.0,314.0,357.0,1.1369,5.7494,5.8777,P
77,10,62.0,316.0,357.0,1.1297,5.7557,5.8777,P
77,11,63.0,316.0,357.0,1.1297,5.7557,5.8777,P
77,12,64.0,315.0,357.0,1.1333,5.7526,5.8777,P
77,13,65.0,314.0,356.0,1.1338,5.7494,5.8749,P
77,16,68.0,313.0,354.0,1.131,5.7462,5.8693,P
77,17,69.0,312.0,354.0,1.1346,5.743,5.8693,P
77,18,70.0,307.0,354.0,1.1531,5.7268,5.8693,P
77,19,71.0,305.0,354.0,1.1607,5.7203,5.8693,P
77,20,72.0,305.0,354.0,1.1607,5.7203,5.8693,P
77,21,73.0,299.0,354.0,1.1839,5.7004,5.8693,P
77,22,74.0,297.0,354.0,1.1919,5.6937,5.8693,P
77,23,75.0,300.0,354.0,1.18,5.7038,5.8693,P
77,24,76.0,300.0,354.0,1.18,5.7038,5.8693,P
77,25,77.0,302.0,354.0,1.1722,5.7104,5.8693,P
77,26,78.0,300.0,354.0,1.18,5.7038,5.8693,P
