climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,binaryClass
118.0,-55.0,-0.28,-0.08,-0.2,-11.0,11.0,0.005,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
390.0,-45.0,-0.06,-0.07,-0.6,-12.0,11.0,0.01,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
68.0,6.0,0.11,0.15,0.6,-10.0,-9.0,-0.003,-0.2,-0.0011,-0.001,-0.001,-0.001,-0.0002,0.0,0.0,0.0,-0.001,N
-358.0,-12.0,-0.2,0.13,-0.3,-11.0,-7.0,0.001,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
-411.0,-19.0,-0.18,0.02,-0.5,-11.0,-3.0,0.002,1.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
-374.0,-29.0,-0.14,0.03,-0.8,-12.0,5.0,0.003,-0.3,-0.0008,-0.001,-0.001,-0.001,0.0001,0.0,0.0,0.0,-0.001,N
-11.0,-43.0,0.34,-0.05,-0.4,-11.0,9.0,0.01,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,N
224.0,5.0,-0.35,0.06,-1.2,-12.0,1.0,0.01,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-120.0,13.0,0.29,0.15,-1.4,-12.0,-9.0,0.008,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-335.0,-3.0,0.27,0.13,-0.1,-11.0,-8.0,-0.009,-0.2,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
-237.0,-32.0,-0.15,0.03,0.3,-11.0,2.0,-0.007,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
-104.0,-60.0,0.3,0.09,0.8,-10.0,-4.0,-0.007,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,-0.0002,0.0,-0.0009,N
-165.0,-63.0,0.16,0.1,1.0,-10.0,-7.0,-0.014,-0.1,-0.001,-0.001,-0.001,-0.001,0.0,0.0,0.0,0.0,-0.001,N
108.0,-70.0,-0.4,0.01,-0.6,-11.0,6.0,0.003,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0001,0.0,-0.0008,N
51.0,-52.0,0.18,0.1,-1.5,-12.0,-4.0,0.004,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,N
-43.0,-52.0,0.19,0.18,-1.2,-12.0,-13.0,-0.005,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-368.0,-71.0,0.03,0.12,-0.8,-12.0,-7.0,-0.002,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0,0.0,0.0,0.0,-0.0008,P
58.0,-85.0,0.13,-0.11,-0.5,-11.0,17.0,0.003,-0.3,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0.0,0.0,0.0,-0.0007,N
376.0,-73.0,0.01,-0.04,-0.3,-11.0,8.0,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
501.0,-41.0,-0.19,0.04,-0.7,-12.0,1.0,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009,N
556.0,-25.0,-0.08,0.03,-0.9,-12.0,4.0,0.009,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0.0,0.0,0.0,0.0,-0.0006,N
-131.0,12.0,0.06,0.19,0.1,-11.0,-15.0,-0.01,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0.0,0.0,0.0,0.0,-0.0009,N
-275.0,2.0,-0.13,0.07,0.0,-11.0,-4.0,-0.008,0.2,-0.0008,-0.0008,-0.0008,-0.0009,0.0,0.0,0.0001,0.0,-0.0009,N
