V1,V2,V3,V4,V5,V6,V7,V8,y2,y1
0.98,514.5,294,110.25,7,2,0,0,11,7
0.98,514.5,294,110.25,7,3,0,0,11,7
0.98,514.5,294,110.25,7,4,0,0,11,7
0.98,514.5,294,110.25,7,5,0,0,11,7
0.9,563.5,318.5,122.5,7,2,0,0,18,12
0.9,563.5,318.5,122.5,7,3,0,0,15,12
0.9,563.5,318.5,122.5,7,4,0,0,15,12
0.9,563.5,318.5,122.5,7,5,0,0,20,11
0.86,588,294,147,7,2,0,0,17,11
0.86,588,294,147,7,3,0,0,12,11
0.86,588,294,147,7,4,0,0,13,10
0.86,588,294,147,7,5,0,0,18,9
0.82,612.5,318.5,147,7,2,0,0,14,8
0.82,612.5,318.5,147,7,3,0,0,11,8
0.82,612.5,318.5,147,7,4,0,0,11,8
0.82,612.5,318.5,147,7,5,0,0,15,7
0.79,637,343,147,7,2,0,0,28,19
0.79,637,343,147,7,3,0,0,21,20
0.79,637,343,147,7,4,0,0,21,20
0.79,637,343,147,7,5,0,0,29,19
0.76,661.5,416.5,122.5,7,2,0,0,20,15
0.76,661.5,416.5,122.5,7,3,0,0,20,14
0.76,661.5,416.5,122.5,7,4,0,0,20,15
0.76,661.5,416.5,122.5,7,5,0,0,19,14
0.74,686,245,220.5,3.5,2,0,0,1,34
0.74,686,245,220.5,3.5,3,0,0,1,34
0.74,686,245,220.5,3.5,4,0,0,1,34
0.74,686,245,220.5,3.5,5,0,0,1,34
0.71,710.5,269.5,220.5,3.5,2,0,0,1,34
0.71,710.5,269.5,220.5,3.5,3,0,0,2,34
0.71,710.5,269.5,220.5,3.5,4,0,0,1,34
0.71,710.5,269.5,220.5,3.5,5,0,0,2,34
0.69,735,294,220.5,3.5,2,0,0,2,35
0.69,735,294,220.5,3.5,3,0,0,2,35
0.69,735,294,220.5,3.5,4,0,0,2,35
0.69,735,294,220.5,3.5,5,0,0,2,35
0.66,759.5,318.5,220.5,3.5,2,0,0,2,35
