median_house_value,median_income,housing_median_age,total_rooms,total_bedrooms,population,households,latitude,binaryClass
452600.0,8.3252,41,880.0,129.0,322.0,126.0,37.88,P
358500.0,8.3014,21,7099.0,1106.0,2401.0,1138.0,37.86,P
352100.0,7.2574,52,1467.0,190.0,496.0,177.0,37.85,P
341300.0,5.6431,52,1274.0,235.0,558.0,219.0,37.85,P
342200.0,3.8462,52,1627.0,280.0,565.0,259.0,37.85,P
269700.0,4.0368,52,919.0,213.0,413.0,193.0,37.85,P
299200.0,3.6591,52,2535.0,489.0,1094.0,514.0,37.84,P
241400.0,3.12,52,3104.0,687.0,1157.0,647.0,37.84,P
226700.0,2.0804,42,2555.0,665.0,1206.0,595.0,37.84,P
261100.0,3.6912,52,3549.0,707.0,1551.0,714.0,37.84,P
281500.0,3.2031,52,2202.0,434.0,910.0,402.0,37.85,P
241800.0,3.2705,52,3503.0,752.0,1504.0,734.0,37.85,P
213500.0,3.075,52,2491.0,474.0,1098.0,468.0,37.85,P
191300.0,2.6736,52,696.0,191.0,345.0,174.0,37.84,P
159200.0,1.9167,52,2643.0,626.0,1212.0,620.0,37.85,P
140000.0,2.125,50,1120.0,283.0,697.0,264.0,37.85,P
152500.0,2.775,52,1966.0,347.0,793.0,331.0,37.85,P
155500.0,2.1202,52,1228.0,293.0,648.0,303.0,37.85,P
158700.0,1.9911,50,2239.0,455.0,990.0,419.0,37.84,P
162900.0,2.6033,52,1503.0,298.0,690.0,275.0,37.84,P
147500.0,1.3578,40,751.0,184.0,409.0,166.0,37.85,P
159800.0,1.7135,42,1639.0,367.0,929.0,366.0,37.85,P
113900.0,1.725,52,2436.0,541.0,1015.0,478.0,37.84,P
99700.0,2.1806,52,1688.0,337.0,853.0,325.0,37.84,P
132600.0,2.6,52,2224.0,437.0,1006.0,422.0,37.84,P
107500.0,2.4038,41,535.0,123.0,317.0,119.0,37.85,P
93800.0,2.4597,49,1130.0,244.0,607.0,239.0,37.85,P
105500.0,1.808,52,1898.0,421.0,1102.0,397.0,37.85,P
108900.0,1.6424,50,2082.0,492.0,1131.0,473.0,37.84,P
132000.0,1.6875,52,729.0,160.0,395.0,155.0,37.84,P
122300.0,1.9274,49,1916.0,447.0,863.0,378.0,37.84,P
115200.0,1.9615,52,2153.0,481.0,1168.0,441.0,37.84,P
110400.0,1.7969,48,1922.0,409.0,1026.0,335.0,37.84,P
104900.0,1.375,49,1655.0,366.0,754.0,329.0,37.83,P
109700.0,2.7303,51,2665.0,574.0,1258.0,536.0,37.83,P
97200.0,1.4861,49,1215.0,282.0,570.0,264.0,37.83,P
104500.0,1.0972,48,1798.0,432.0,987.0,374.0,37.83,P
103900.0,1.4103,52,1511.0,390.0,901.0,403.0,37.83,P
191400.0,3.48,52,1470.0,330.0,689.0,309.0,37.83,P
176000.0,2.5898,52,2432.0,715.0,1377.0,696.0,37.83,P
155400.0,2.0978,52,1665.0,419.0,946.0,395.0,37.83,P
150000.0,1.2852,51,936.0,311.0,517.0,249.0,37.83,P
118800.0,1.025,49,713.0,202.0,462.0,189.0,37.84,P
188800.0,3.9643,52,950.0,202.0,467.0,198.0,37.84,P
184400.0,3.0125,52,1443.0,311.0,660.0,292.0,37.83,P
182300.0,2.6768,52,1656.0,420.0,718.0,382.0,37.83,P
142500.0,2.026,50,1125.0,322.0,616.0,304.0,37.83,P
137500.0,1.7348,43,1007.0,312.0,558.0,253.0,37.82,P
187500.0,0.9506,40,624.0,195.0,423.0,160.0,37.82,P
112500.0,1.775,40,946.0,375.0,700.0,352.0,37.82,P
171900.0,0.9218,21,896.0,453.0,735.0,438.0,37.82,P
93800.0,1.5045,43,1868.0,456.0,1061.0,407.0,37.82,P
97500.0,1.1108,41,3221.0,853.0,1959.0,720.0,37.82,P
104200.0,1.2475,52,1630.0,456.0,1162.0,400.0,37.82,P
87500.0,1.6098,52,1170.0,235.0,701.0,233.0,37.82,P
83100.0,1.4113,52,945.0,243.0,576.0,220.0,37.82,P
87500.0,1.5057,52,1238.0,288.0,622.0,259.0,37.82,P
85300.0,0.8172,52,1489.0,335.0,728.0,244.0,37.82,P
80300.0,1.2171,52,1387.0,341.0,1074.0,304.0,37.82,P
60000.0,2.5625,2,158.0,43.0,94.0,57.0,37.82,P
75700.0,3.3929,52,1121.0,211.0,554.0,187.0,37.83,P
75000.0,6.1183,49,135.0,29.0,86.0,23.0,37.82,P
86100.0,0.9011,50,760.0,190.0,377.0,122.0,37.81,P
76100.0,1.191,52,1224.0,237.0,521.0,159.0,37.81,P
73500.0,2.5938,48,828.0,182.0,392.0,133.0,37.81,P
78400.0,1.1667,52,1010.0,209.0,604.0,187.0,37.81,P
84400.0,0.8056,48,1455.0,354.0,788.0,332.0,37.81,P
81300.0,2.6094,52,1027.0,244.0,492.0,147.0,37.8,P
85000.0,1.8516,52,572.0,109.0,274.0,82.0,37.81,P
129200.0,0.9802,46,2801.0,644.0,1823.0,611.0,37.81,P
82500.0,1.7719,26,768.0,152.0,392.0,127.0,37.81,P
95200.0,0.7286,46,935.0,297.0,582.0,277.0,37.81,P
75000.0,1.75,49,844.0,204.0,560.0,152.0,37.81,P
67500.0,0.4999,46,12.0,4.0,18.0,7.0,37.81,P
137500.0,2.483,20,835.0,161.0,290.0,133.0,37.81,P
177500.0,0.9241,17,1237.0,462.0,762.0,439.0,37.81,P
102100.0,2.4464,36,2914.0,562.0,1236.0,509.0,37.81,P
108300.0,1.1111,19,1207.0,243.0,721.0,207.0,37.81,P
112500.0,0.8026,23,1745.0,374.0,1054.0,325.0,37.81,P
131300.0,2.0114,38,684.0,176.0,344.0,155.0,37.8,P
162500.0,1.5,17,924.0,289.0,609.0,289.0,37.81,P
112500.0,1.1667,52,210.0,56.0,183.0,56.0,37.81,P
112500.0,1.5208,52,340.0,97.0,200.0,87.0,37.81,P
137500.0,0.8075,52,386.0,164.0,346.0,155.0,37.81,P
118800.0,1.8088,35,948.0,184.0,467.0,169.0,37.81,P
98200.0,2.4083,52,773.0,143.0,377.0,115.0,37.81,P
118800.0,0.977,40,880.0,451.0,582.0,380.0,37.81,P
162500.0,0.76,10,875.0,348.0,546.0,330.0,37.81,P
137500.0,0.9722,10,105.0,42.0,125.0,39.0,37.8,P
