Actual Time,Age,Community Building,Community Membership_Family,Community Membership_Hobbies,Community Membership_None,Community Membership_Other,Community Membership_Political,Community Membership_Professional,Community Membership_Religious,Community Membership_Support,Country,Disability_Cognitive,Disability_Hearing,Disability_Motor,Disability_Not Impaired,Disability_Not Say,Disability_Vision,Education Attainment,Falsification of Information,Gender,Household Income,How You Heard About Survey_Banner,How You Heard About Survey_Friend,How You Heard About Survey_Mailing List,How You Heard About Survey_Others,How You Heard About Survey_Printed Media,How You Heard About Survey_Remebered,How You Heard About Survey_Search Engine,How You Heard About Survey_Usenet News,How You Heard About Survey_WWW Page,Major Geographical Location,Major Occupation,Marital Status,Most Import Issue Facing the Internet,Opinions on Censorship,Primary Computing Platform,Primary Language,Primary Place of WWW Access,Race,Not Purchasing_Bad experience,Not Purchasing_Bad press,Not Purchasing_Cant find,Not Purchasing_Company policy,Not Purchasing_Easier locally,Not Purchasing_Enough info,Not Purchasing_Judge quality,Not Purchasing_Never tried,Not Purchasing_No credit,Not Purchasing_Not applicable,Not Purchasing_Not option,Not Purchasing_Other,Not Purchasing_Prefer people,Not Purchasing_Privacy,Not Purchasing_Receipt,Not Purchasing_Security,Not Purchasing_Too complicated,Not Purchasing_Uncomfortable,Not Purchasing_Unfamiliar vendor,Registered to Vote,Sexual Preference,Web Ordering,Web Page Creation,Who Pays for Access_Don't Know,Who Pays for Access_Other,Who Pays for Access_Parents,Who Pays for Access_School,Who Pays for Access_Self,target
Consultant,41.0,Equally,0,0,1,0,0,0,0,0,Texas,0,0,0,1,0,0,Masters,Never,Male,Over $100,0,0,0,0,0,0,0,1,0,USA,Professional,Married,Taxes,1,Macintosh,English,Primarily work,White,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
College Student,28.0,Equally,0,0,0,0,0,0,0,1,Texas,0,0,0,1,0,0,Some College,Under 25,Female,Under $10,1,0,0,0,0,0,0,0,0,USA,Education,Single,Navigation,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,Yes,No,0,0,0,0,1,0
Other,25.0,More,1,1,0,0,0,1,0,0,Florida,0,0,0,1,0,0,College,Under 25,Male,Over $100,0,0,0,0,0,0,0,0,1,USA,Computer,Other,Navigation,4,Win95,English,Primarily work,White,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,No,Heterosexual,Yes,Yes,0,0,0,0,1,1
Salesperson,28.0,More,0,0,0,1,0,0,0,0,Illinois,0,0,0,1,0,0,College,51-75,Female,$50-74,0,0,0,0,0,0,0,0,1,USA,Professional,Other,Censorship,1,Win95,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
K-12 Student,17.0,More,0,0,0,0,1,1,0,1,Ontario,0,0,0,1,0,0,High School,Over 75,Male,Under $10,0,0,1,0,0,0,0,0,0,Canada,Education,Single,Navigation,1,Win95,English,Primarily home,White,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,Yes,0,0,0,0,1,0
Other,55.0,Equally,1,0,0,0,0,1,1,0,Washington,0,0,0,1,0,0,Professional,Never,Male,$75-99,0,0,0,1,0,0,0,0,0,USA,Professional,Married,Navigation,1,Windows,English,Primarily work,White,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,1
Other,53.0,Equally,0,1,0,1,0,0,0,1,Oklahoma,0,0,0,1,0,0,Some College,Never,Male,Not Say,0,0,0,0,0,0,0,0,1,USA,Other,Divorced,Censorship,1,nan,English,Home,White,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,Heterosexual,Yes,No,0,0,0,0,1,0
Other,25.0,More,0,1,0,0,0,0,0,0,California,0,0,0,1,0,0,High School,nan,Male,$30-39,0,0,0,0,0,0,0,0,1,USA,Professional,Single,Dont Know,1,nan,English,Primarily home,White,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,No,Heterosexual,No,No,0,0,0,0,1,0
Other,32.0,Equally,1,1,0,1,0,1,0,0,Oregon,0,0,0,1,0,0,Some College,Never,Male,$20-29,0,0,0,0,0,0,0,0,1,USA,Other,Married,Privacy,1,Win95,English,Home,White,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,1,0
Retired,65.0,More,0,0,0,0,0,0,0,1,Alberta,0,0,0,1,0,0,Grammar,Never,Male,$10-19,1,0,0,0,0,0,0,0,0,Canada,Other,Married,Taxes,1,Win95,English,Home,White,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Yes,Heterosexual,No,No,0,0,0,0,1,0
IS,49.0,More,0,0,0,0,0,1,0,0,Kentucky,0,0,0,1,0,0,Masters,51-75,Female,$50-74,0,0,0,0,0,1,0,0,0,USA,Computer,Married,Censorship,1,Win95,English,Primarily home,White,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,Yes,Heterosexual,Yes,Yes,0,0,0,0,0,1
