WMC,DIT,NOC,CBO,RFC,LCOM,NPM,LOC,Bug-count
4.0,0,2,1,4.0,0,4,7.0,False
5.0,1,4,9,17.0,80,5,133.0,True
3.0,6,0,26,630.0,46,1,465.0,True
2.0,1,0,14,14.0,50,1,82.0,True
4.0,1,0,15,16.0,25,4,61.0,True
4.0,1,0,3,16.0,0,4,17.0,False
5.0,2,0,17,75.0,51,3,92.0,True
1.0,1,0,8,13.0,0,1,30.0,True
4.0,2,0,4,24.0,33,0,25.0,False
3.0,0,6,0,3.0,100,0,6.0,False
6.0,1,0,5,18.0,62,5,45.0,False
3.0,2,0,5,23.0,33,0,28.0,False
5.0,2,0,5,25.0,72,0,91.0,False
5.0,3,0,5,36.0,70,5,54.0,False
4.0,1,0,1,16.0,0,3,18.0,False
4.0,3,0,5,41.0,91,3,37.0,False
5.0,1,0,5,17.0,60,3,91.0,False
3.0,2,0,5,23.0,16,0,43.0,False
8.0,1,0,5,20.0,96,8,177.0,False
4.0,1,0,0,16.0,0,3,18.0,False
3.0,3,0,3,69.0,0,3,15.0,False
5.0,3,0,5,38.0,70,5,54.0,False
3.0,2,0,4,23.0,0,0,37.0,False
3.0,2,0,5,23.0,33,0,38.0,False
5.0,2,0,7,25.0,9,0,72.0,False
3.0,2,0,3,23.0,0,0,11.0,False
5.0,2,0,5,25.0,30,0,38.0,False
5.0,1,0,5,17.0,62,3,83.0,False
4.0,1,0,1,16.0,16,3,20.0,False
3.0,2,0,3,23.0,33,0,25.0,False
4.0,2,0,3,24.0,50,0,25.0,False
14.0,1,0,6,26.0,65,10,104.0,False
7.0,2,0,5,27.0,46,0,123.0,False
8.0,1,13,3,20.0,75,0,35.0,False
46.0,2,1,34,66.0,95,26,666.0,False
2.0,2,0,12,33.0,0,1,75.0,False
6.0,0,1,3,6.0,0,6,8.0,False
2.0,2,0,13,33.0,0,1,32.0,False
12.0,1,0,4,24.0,48,0,80.0,False
2.0,2,0,7,33.0,100,1,24.0,False
3.0,2,0,9,34.0,58,2,49.0,False
2.0,2,0,6,33.0,66,1,16.0,False
4.0,2,0,10,35.0,0,2,67.0,False
4.0,2,0,9,26.0,75,2,70.0,False
2.0,2,0,5,33.0,0,1,12.0,False
4.0,3,0,6,37.0,75,4,41.0,False
7.0,1,1,0,7.0,0,7,10.0,False
6.0,2,0,8,37.0,55,5,46.0,False
0.0,0,1,1,0.0,0,0,77.0,False
4.0,1,0,5,16.0,0,4,57.0,False
2.0,2,0,6,33.0,0,2,53.0,False
2.0,2,0,4,33.0,0,1,15.0,False
2.0,2,0,6,33.0,50,1,47.0,False
43.0,1,0,16,55.0,87,28,536.0,True
2.0,2,0,3,33.0,0,1,12.0,False
10.0,1,2,11,22.0,66,7,73.0,False
86.0,2,0,37,108.0,0,84,146.0,False
8.0,2,0,20,39.0,0,1,113.0,False
49.0,1,0,6,61.0,89,6,2001.0,False
10.0,1,0,5,22.0,19,10,50.0,False
2.0,2,0,5,33.0,50,1,15.0,False
4.0,2,0,9,35.0,58,3,63.0,False
3.0,2,0,6,34.0,0,2,35.0,False
0.0,0,12,1,0.0,0,0,246.0,False
2.0,2,0,6,33.0,50,1,22.0,False
407.0,1,0,63,419.0,87,83,6191.0,False
4.0,1,0,14,16.0,41,3,100.0,False
18.0,1,0,23,30.0,77,9,423.0,False
7.0,2,0,4,71.0,0,5,29.0,False
2.0,2,0,1,33.0,50,1,6.0,False
7.0,2,0,9,38.0,71,6,33.0,False
2.0,2,0,5,33.0,0,1,19.0,False
52.0,1,1,32,64.0,93,38,617.0,True
53.0,1,0,39,65.0,93,45,536.0,True
36.0,1,0,46,48.0,0,14,602.0,True
19.0,1,35,11,31.0,87,19,97.0,False
