LABEL,P85,P75,RMT85,CS82,SS82,S82,ME84,REV84,REG,binaryClass
1.0,33.0,27.0,288.0,13,24,49,2135.0,2836.0,1,P
2.0,19.0,15.0,139.0,14,12,41,957.0,2035.0,1,P
3.0,26.0,20.0,196.0,12,14,41,1530.0,6030.0,1,P
4.0,19.0,15.0,159.0,12,19,41,1059.0,4704.0,1,P
5.0,56.0,52.0,536.0,20,27,61,3951.0,5183.0,1,P
6.0,16.0,15.0,134.0,16,12,41,918.0,2157.0,1,P
7.0,70.0,62.0,623.0,18,27,61,4367.0,7072.0,1,P
8.0,66.0,54.0,517.0,15,32,61,4345.0,5246.0,1,P
9.0,12.0,12.0,96.0,10,12,31,754.0,951.0,1,P
10.0,60.0,50.0,467.0,14,29,61,3902.0,6067.0,1,P
11.0,32.0,29.0,277.0,14,20,45,1993.0,3264.0,1,P
12.0,20.0,14.0,155.0,10,21,41,1312.0,1899.0,1,P
13.0,53.0,40.0,386.0,24,13,51,2780.0,5931.0,1,P
14.0,28.0,27.0,241.0,24,8,45,1649.0,3877.0,1,P
15.0,48.0,43.0,422.0,19,18,51,2983.0,4968.0,1,P
16.0,653.0,671.0,6263.0,34,41,101,45324.0,59877.0,1,P
17.0,79.0,78.0,612.0,14,31,61,5331.0,7027.0,1,P
18.0,59.0,54.0,532.0,23,23,61,3994.0,6529.0,1,P
19.0,27.0,28.0,250.0,9,22,41,1616.0,2208.0,1,P
20.0,49.0,55.0,412.0,20,27,61,3240.0,3976.0,1,P
21.0,38.0,36.0,339.0,21,11,51,2055.0,4438.0,1,P
22.0,6.0,6.0,55.0,11,12,31,304.0,960.0,1,P
23.0,42.0,39.0,290.0,12,25,57,2294.0,7990.0,1,P
24.0,29.0,27.0,249.0,13,23,49,1899.0,2719.0,1,P
25.0,21.0,19.0,164.0,8,25,45,1217.0,2389.0,1,P
26.0,14.0,9.0,97.0,12,15,35,679.0,1462.0,2,P
27.0,9.0,10.0,74.0,3,20,31,490.0,1751.0,2,P
28.0,20.0,21.0,144.0,5,27,49,1109.0,2259.0,2,P
29.0,153.0,138.0,1277.0,21,36,81,7910.0,13205.0,2,P
30.0,33.0,32.0,240.0,10,24,51,1837.0,3281.0,2,P
31.0,21.0,19.0,163.0,7,23,49,1176.0,7082.0,2,P
32.0,10.0,10.0,63.0,4,18,35,454.0,952.0,2,P
33.0,65.0,62.0,488.0,14,33,61,3254.0,6389.0,2,P
34.0,13.0,14.0,111.0,4,19,31,759.0,1830.0,2,P
35.0,17.0,18.0,128.0,6,22,45,871.0,1833.0,2,P
36.0,32.0,33.0,230.0,9,30,51,1788.0,2914.0,2,P
37.0,89.0,92.0,720.0,15,46,79,5495.0,6772.0,2,P
38.0,25.0,22.0,179.0,11,22,49,1286.0,2628.0,2,P
39.0,6.0,6.0,37.0,8,17,41,257.0,655.0,2,P
40.0,4.0,4.0,24.0,5,11,35,177.0,637.0,2,P
41.0,10.0,11.0,65.0,9,19,49,470.0,1387.0,2,P
42.0,6.0,6.0,37.0,5,23,41,255.0,742.0,2,P
43.0,13.0,13.0,89.0,6,24,45,591.0,1307.0,2,P
44.0,24.0,25.0,187.0,8,33,55,1313.0,2165.0,2,P
45.0,9.0,9.0,60.0,10,21,49,415.0,1136.0,2,P
46.0,116.0,108.0,939.0,21,36,79,6313.0,10879.0,2,P
47.0,118.0,119.0,1008.0,22,45,85,7619.0,12112.0,2,P
48.0,12.0,10.0,81.0,11,17,45,555.0,1370.0,2,P
49.0,41.0,42.0,310.0,10,31,57,2402.0,3863.0,2,P
50.0,8.0,8.0,58.0,7,16,35,369.0,831.0,2,P
51.0,26.0,25.0,169.0,10,26,51,1311.0,2409.0,2,P
52.0,7.0,6.0,38.0,6,11,35,280.0,767.0,3,P
53.0,9.0,8.0,68.0,9,13,41,387.0,790.0,3,P
54.0,28.0,27.0,190.0,10,20,49,1327.0,2546.0,3,P
55.0,12.0,11.0,78.0,7,14,41,536.0,1254.0,3,P
56.0,107.0,108.0,807.0,19,38,81,6107.0,9343.0,3,P
57.0,31.0,33.0,220.0,10,27,57,1597.0,2653.0,3,P
58.0,30.0,30.0,226.0,10,18,49,1713.0,2834.0,3,P
59.0,12.0,12.0,69.0,9,14,45,493.0,1134.0,3,P
60.0,28.0,29.0,179.0,9,18,49,1349.0,2903.0,3,P
61.0,18.0,18.0,129.0,8,17,49,970.0,1652.0,3,P
62.0,18.0,19.0,119.0,9,19,41,963.0,1470.0,3,P
63.0,11.0,12.0,73.0,6,18,41,450.0,1220.0,3,P
64.0,9.0,9.0,59.0,6,24,41,458.0,790.0,3,P
65.0,14.0,15.0,92.0,11,17,49,659.0,1626.0,3,P
66.0,20.0,19.0,127.0,9,20,49,956.0,1983.0,3,P
67.0,16.0,15.0,104.0,10,21,49,762.0,1768.0,3,P
68.0,11.0,12.0,75.0,8,22,49,506.0,1169.0,3,P
69.0,66.0,62.0,505.0,15,23,61,3789.0,6850.0,3,P
70.0,27.0,26.0,183.0,9,18,49,1366.0,3053.0,3,P
71.0,8.0,8.0,49.0,6,21,41,361.0,807.0,3,P
72.0,8.0,8.0,41.0,7,15,41,349.0,765.0,3,P
73.0,13.0,11.0,76.0,12,19,49,520.0,1457.0,3,P
74.0,17.0,18.0,113.0,8,20,49,784.0,1733.0,3,P
75.0,13.0,13.0,90.0,8,24,49,538.0,2042.0,3,P
76.0,11.0,12.0,79.0,5,21,41,522.0,1060.0,3,P
77.0,54.0,52.0,408.0,16,29,61,3095.0,5302.0,3,P
78.0,21.0,22.0,140.0,7,24,49,1110.0,2010.0,3,P
79.0,28.0,28.0,200.0,10,31,59,1499.0,5717.0,3,P
80.0,40.0,42.0,284.0,12,38,75,2087.0,3773.0,3,P
81.0,16.0,16.0,103.0,10,19,49,736.0,1696.0,3,P
82.0,11.0,11.0,58.0,10,12,49,442.0,1743.0,3,P
83.0,56.0,54.0,654.0,13,30,71,5434.0,6050.0,3,P
84.0,15.0,18.0,118.0,6,28,49,813.0,1309.0,4,P
85.0,60.0,60.0,431.0,15,39,75,3285.0,4954.0,4,P
86.0,30.0,30.0,192.0,8,27,49,1575.0,2553.0,4,P
87.0,32.0,32.0,233.0,9,27,51,1593.0,4006.0,4,P
88.0,16.0,16.0,102.0,11,24,49,753.0,1515.0,4,P
89.0,15.0,15.0,97.0,6,24,41,735.0,1321.0,4,P
90.0,9.0,9.0,56.0,13,14,45,380.0,894.0,4,P
91.0,12.0,13.0,69.0,9,15,41,487.0,1343.0,4,P
92.0,12.0,11.0,73.0,5,28,41,492.0,1222.0,4,P
93.0,14.0,14.0,86.0,6,17,41,574.0,1306.0,4,P
94.0,7.0,7.0,53.0,9,16,35,339.0,779.0,4,P
95.0,16.0,16.0,105.0,13,22,49,852.0,1508.0,4,P
96.0,13.0,11.0,81.0,9,21,41,598.0,1026.0,4,P
97.0,12.0,11.0,77.0,16,10,49,481.0,2027.0,4,P
98.0,70.0,67.0,472.0,17,35,71,3613.0,6317.0,4,P
99.0,20.0,20.0,129.0,11,19,49,868.0,2216.0,4,P
100.0,31.0,28.0,194.0,17,16,49,1343.0,3073.0,4,P
101.0,49.0,48.0,299.0,15,25,61,2212.0,4055.0,4,P
102.0,13.0,12.0,81.0,7,18,41,528.0,1277.0,4,P
103.0,17.0,15.0,122.0,14,17,41,894.0,1670.0,4,P
104.0,14.0,14.0,113.0,10,24,41,729.0,1276.0,4,P
105.0,25.0,21.0,186.0,24,14,49,1142.0,3252.0,4,P
