age,race,gender,grade90,income96,partner,height,weight,famsize,genhealth,illegalact,charged,jobsnum90,afqt89,typejob90,jobtrain90,income96gt17
20,ITALIAN,Female,12TH GRADE,0.0,No,502.0,118.0,5,Very Good,0,0,2,9,manuf,No,0
18,FRENCH,Male,4TH YR COL,3.5,No,504.0,200.0,4,Good,1,0,10,99,pro,No,1
20,ENGLISH,Female,12TH GRADE,2.4,Yes,505.0,155.0,3,Good,0,0,8,42,fin,No,1
15,ITALIAN,Male,2ND YR COL,5.2,No,506.0,159.0,6,Excellent,0,0,4,51,retail,No,1
20,IRISH,Male,4TH YR COL,5.2,Yes,511.0,175.0,5,Excellent,0,0,3,85,busi,No,1
15,IRISH,Female,4TH YR COL,2.9,No,507.0,145.0,5,Very Good,2,0,15,92,wholesale,Yes,1
20,ITALIAN,Female,1ST YR COL,2.5,No,503.0,135.0,4,Good,0,0,9,57,pro,No,1
21,ENGLISH,Male,1ST YR COL,8.0,No,509.0,155.0,1,Excellent,0,0,4,98,manuf,No,1
19,ITALIAN,Female,4TH YR COL,4.6,No,504.0,120.0,5,Very Good,1,0,10,63,manuf,No,1
17,ITALIAN,Female,4TH YR COL,5.55,No,502.0,138.0,5,Excellent,2,0,17,94,manuf,No,1
16,POLISH,Female,4TH YR COL,1.5,No,504.0,115.0,4,Very Good,1,0,19,84,pro,No,0
19,GERMAN,Female,2ND YR COL,1.8,No,507.0,120.0,3,Excellent,1,0,3,57,pro,No,1
18,GREEK,Female,12TH GRADE,4.1,No,507.0,125.0,4,Very Good,0,0,4,13,fin,No,1
20,ENGLISH,Male,1ST YR COL,2.4,No,510.0,200.0,4,Very Good,1,0,15,13,retail,No,1
20,GERMAN,Female,12TH GRADE,0.0,No,507.0,130.0,4,Very Good,0,0,3,59,manuf,No,0
16,GERMAN,Female,12TH GRADE,3.0,No,504.0,118.0,4,Excellent,0,0,7,13,pub,No,1
19,ITALIAN,Male,1ST YR COL,0.25,No,507.0,160.0,3,Excellent,0,0,8,38,pub,No,0
16,ITALIAN,Male,3RD YR COL,6.7,No,602.0,205.0,3,Very Good,5,0,12,54,busi,No,1
15,OTHER,Male,12TH GRADE,3.5,No,511.0,230.0,4,Very Good,5,0,7,16,construction,No,1
17,OTHER,Female,12TH GRADE,0.0,No,507.0,140.0,5,Fair,0,0,14,13,retail,No,0
16,FRENCH,Female,5TH YR COL,1.8,Yes,502.0,122.0,3,Excellent,0,0,5,63,pro,No,1
20,ENGLISH,Male,12TH GRADE,5.4,No,601.0,198.0,3,Excellent,2,1,7,77,manuf,Yes,1
20,GERMAN,Female,2ND YR COL,3.1191,No,509.0,150.0,2,Very Good,0,0,6,66,pro,No,1
20,GERMAN,Female,12TH GRADE,1.0,No,505.0,190.0,4,Very Good,0,0,5,79,fin,No,0
20,FRENCH,Female,12TH GRADE,2.2,No,507.0,118.0,2,Very Good,0,0,19,38,transp,No,1
22,ENGLISH,Female,5TH YR COL,3.68,No,502.0,130.0,5,Excellent,0,0,5,87,pub,No,1
14,GERMAN,Female,12TH GRADE,2.8,No,510.0,180.0,4,Very Good,2,0,14,31,pro,No,1
16,ENGLISH,Female,4TH YR COL,0.0,No,509.0,135.0,4,Excellent,0,0,11,99,busi,No,0
19,ENGLISH,Female,4TH YR COL,1.3,No,505.0,155.0,3,Excellent,0,0,11,84,fin,No,0
17,ENGLISH,Female,4TH YR COL,3.8,No,504.0,116.0,5,Excellent,0,0,16,68,enter,No,1
15,OTHER-SPANISH,Male,2ND YR COL,2.4,No,601.0,170.0,5,Excellent,3,0,10,31,retail,No,1
14,ENGLISH,Female,4TH YR COL,4.7,No,503.0,135.0,4,Very Good,0,0,7,84,fin,Yes,1
21,GERMAN,Female,4TH YR COL,0.0,Yes,504.0,122.0,5,Very Good,0,0,6,88,pro,No,0
15,ITALIAN,Male,5TH YR COL,1.2,No,507.0,130.0,4,Very Good,2,0,10,70,pro,No,0
14,ITALIAN,Male,2ND YR COL,1.6,No,509.0,165.0,4,Excellent,2,0,15,21,retail,No,0
15,BLACK,Male,12TH GRADE,0.8,No,508.0,170.0,7,Excellent,0,0,8,3,retail,No,0
21,BLACK,Male,4TH YR COL,2.31,Yes,600.0,156.0,2,Very Good,0,1,9,92,fin,Yes,1
20,BLACK,Female,4TH YR COL,4.1,Yes,507.0,130.0,5,Fair,0,0,8,80,fin,No,1
20,POLISH,Male,4TH YR COL,6.4,No,511.0,156.0,5,Very Good,0,0,7,89,fin,No,1
15,POLISH,Female,4TH YR COL,3.4,No,507.0,136.0,5,Very Good,0,0,7,15,manuf,Yes,1
16,ENGLISH,Female,12TH GRADE,0.4,No,411.0,140.0,4,Good,1,0,5,37,pro,No,0
14,POLISH,Male,12TH GRADE,2.2,No,509.0,154.0,4,Excellent,0,0,8,18,pro,No,1
