Hour,DayOfWeek,Month,Year,PdDistrict,Address,X,Y,ViolentCrime
9,2,6,2004,INGLESIDE,0 Block of ARLETA AV,-122.40366319182,37.7126960034611,Yes
11,2,9,2012,MISSION,2000 Block of MISSION ST,-122.419520367886,37.764228935718,No
16,4,6,2010,CENTRAL,400 Block of GEARY ST,-122.41072162587,37.7870966495663,Yes
9,5,8,2016,MISSION,0 Block of OAKWOOD ST,-122.425012988928,37.7606879406742,No
18,5,6,2015,RICHMOND,100 Block of 18TH AV,-122.477506314798,37.7851364834235,No
14,7,9,2013,MISSION,16TH ST / VALENCIA ST,-122.421886357981,37.7649178909424,No
22,6,4,2011,MISSION,3100 Block of 23RD ST,-122.414771601425,37.7540114398888,Yes
5,2,5,2016,MISSION,1100 Block of SOUTH VAN NESS AV,-122.416557578218,37.7547485110398,No
18,4,9,2015,SOUTHERN,400 Block of NATOMA ST,-122.407039055082,37.7807565183591,No
17,1,2,2007,TARAVAL,2300 Block of 42ND AV,-122.500466121213,37.7428744295581,No
0,1,7,2010,MISSION,2700 Block of 18TH ST,-122.409641463702,37.7617330443151,No
13,5,10,2014,PARK,FULTON ST / MASONIC AV,-122.446472679005,37.7758015943912,No
16,2,5,2009,MISSION,1800 Block of FOLSOM ST,-122.415605496237,37.7677177520665,No
6,6,10,2009,PARK,400 Block of PIERCE ST,-122.434135082799,37.774030093363,No
23,5,3,2006,CENTRAL,1200 Block of BUSH ST,-122.417841550946,37.7889536872317,Yes
14,4,10,2006,CENTRAL,2800 Block of JONES ST,-122.41742346242,37.8075434625252,Yes
14,2,3,2013,INGLESIDE,500 Block of ELLSWORTH ST,-122.414845755673,37.7365455566205,No
17,1,1,2012,TENDERLOIN,OFARRELL ST / TAYLOR ST,-122.411328369311,37.7859963050476,No
20,6,6,2013,MISSION,2600 Block of FOLSOM ST,-122.414378057249,37.7548796352281,No
17,4,2,2006,NORTHERN,1100 Block of FILLMORE ST,-122.431979576386,37.7800478529923,No
17,7,6,2011,NORTHERN,400 Block of GROVE ST,-122.423991807272,37.7776523028278,No
16,6,6,2006,INGLESIDE,1800 Block of SUNNYDALE AV,-122.417107986993,37.7122561827524,No
20,4,2,2006,BAYVIEW,CONNECTICUT ST / CESAR CHAVEZ ST,-122.39627766288,37.7497466924568,No
