ID,ObjType,Effort,FunctPercent,IntComplx,DataFile,DataEn,DataOut,UFP,Lang,Tools,ToolExpr,AppExpr,TeamSize,DBMS,Method,AppType
101.0,FT,2.5,"0.00,0.80,0.10,0.10,0.00,0.00,0.00",5.0,18.0,94.0,NULL,NULL,sql,mySQLweb,"[2,60]",4.0,[1],mysql,NULL,BC/S
102.0,FT,2.5,"0.00,0.70,0.00,0.10,0.10,0.10,0.00",5.0,9.0,240.0,NULL,NULL,sql,mySQLweb,"[2,60]",4.0,[1],mysql,NULL,BC/S
114.0,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",4.0,[1],mysql,"SA,SD",BC/S
115.0,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",4.0,[1],mysql,"SA,SD",BC/S
116.0,FT,3.5,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,15.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",BC/S
117.0,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",1.0,7.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,60]",4.0,[1],mysql,"SA,SD",BC/S
118.0,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",BC/S
119.0,FT,2.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",2.0,9.0,90.0,0.0,0.0,"html,_php,_sql,_proprietary","notepad,_webforms","[2,_60]",5.0,[1],mysql,"SA,SD",BC/S
120.0,FT,16.0,"0.10,0.30,0.10,0.30,0.00,0.00,0.20",5.0,12.0,314.0,0.0,0.0,"php,_sql",notepad,"[2,_60]",5.0,[1],mysql,None,BC/S
202.0,FT,1.0,"0.20,_0.16,_0.04,_0.54,_0.00,_0.03,_0.03",2.0,2.0,1.0,1.0,2.0,"Html,_JavaScript",Vim,"[5,10]",2.0,"[1,2]",NULL,SA,B/S
204.0,FT,2.0,"0.11,_0.34,_0.25,_0.15,_0.00,_0.02,_0.08",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[2,3]",Oracle,3_Tier_Architecture,BC/S
206.0,FT,1.0,"0.11,_0.34,_0.25,_0.15,_0.00,_0.02,_0.08",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[2,3]",Oracle,3_Tier_Architecture,BC/S
208.0,FT,5.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",4.0,2.0,3.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
210.0,FT,2.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
211.0,FT,2.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
212.0,FT,3.0,"0.16,_0.39,_0.07,_0.28,_0.00,_0.06,_0.04",1.0,2.0,1.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",3.0,"[2,3]",Oracle,3_Tier_Architecture,BC/S
214.0,FT,7.0,"0.15,_0.30,_0.07,_0.38,_0.00,_0.06,_0.04",2.0,5.0,2.0,2.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,BC/S
218.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
219.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
220.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
222.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
223.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
224.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
225.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,4.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
230.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",2.0,"[2,3]",Oracle,3_Tier_Architecture,BC/S
231.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
232.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,4.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
234.0,FT,1.0,"0.25,_0.25,_0.25,_0.25,_0.00,_0.00,_0.00",1.0,2.0,2.0,1.0,0.0,"Php,_Html,_Sql,_JavaScript","Vim,_Emacs,_Microsoft_visual_studio","[1,10]",1.0,"[1,2]",Oracle,3_Tier_Architecture,BC/S
